Date,Value,year,month,day
2019-03-10,494.52777777777777,2019,3,10
2019-03-11,491.2838888888889,2019,3,11
2019-03-12,490.8588888888888,2019,3,12
2019-03-13,487.3977777777778,2019,3,13
2019-03-14,489.0738888888888,2019,3,14
2019-03-15,495.2866666666666,2019,3,15
2019-03-16,495.62111111111113,2019,3,16
2019-03-17,496.7255555555556,2019,3,17
2019-03-18,498.2811111111112,2019,3,18
2019-03-19,498.14,2019,3,19
2019-03-20,493.0866666666668,2019,3,20
2019-03-21,493.0844444444445,2019,3,21
2019-03-22,493.088888888889,2019,3,22
2019-03-23,496.4316666666667,2019,3,23
2019-03-24,493.30722222222215,2019,3,24
2019-03-25,494.5727777777777,2019,3,25
2019-03-26,503.28,2019,3,26
2019-03-27,497.1194444444443,2019,3,27
2019-03-28,500.2033333333333,2019,3,28
2019-03-29,499.9561111111111,2019,3,29
2019-03-30,499.6433333333333,2019,3,30
2019-03-31,495.0722222222222,2019,3,31
2019-04-01,498.0877777777779,2019,4,1
2019-04-02,494.9855555555556,2019,4,2
2019-04-03,493.1144444444445,2019,4,3
2019-04-04,495.4711111111111,2019,4,4
2019-04-05,495.8150000000001,2019,4,5
2019-04-06,495.00833333333344,2019,4,6
2019-04-07,496.2927777777777,2019,4,7
2019-04-08,496.44944444444445,2019,4,8
2019-04-09,496.6483333333333,2019,4,9
2019-04-10,496.6488888888889,2019,4,10
2019-04-11,475.6266666666667,2019,4,11
2019-04-12,472.8816666666667,2019,4,12
2019-04-13,477.751111111111,2019,4,13
2019-04-14,473.72888888888895,2019,4,14
2019-04-15,475.7911111111112,2019,4,15
2019-04-16,486.5455555555556,2019,4,16
2019-04-17,510.7099999999999,2019,4,17
2019-04-18,509.56777777777785,2019,4,18
2019-04-19,510.46333333333337,2019,4,19
2019-04-20,507.9194444444444,2019,4,20
2019-04-21,512.4472222222223,2019,4,21
2019-04-22,514.2277777777778,2019,4,22
2019-04-23,513.9366666666666,2019,4,23
2019-04-24,514.5805555555555,2019,4,24
2019-04-25,513.0544444444445,2019,4,25
2019-04-26,513.3822222222221,2019,4,26
2019-04-27,505.6038888888888,2019,4,27
2019-04-28,508.0033333333333,2019,4,28
2019-04-29,511.3716666666666,2019,4,29
2019-04-30,511.6883333333333,2019,4,30
2019-05-01,513.1238888888889,2019,5,1
2019-05-02,513.9188888888889,2019,5,2
2019-05-03,513.6405555555556,2019,5,3
2019-05-04,571.0350000000001,2019,5,4
2019-05-05,570.573888888889,2019,5,5
2019-05-06,569.8555555555556,2019,5,6
2019-05-07,544.9205555555556,2019,5,7
2019-05-08,544.843888888889,2019,5,8
2019-05-09,487.07944444444456,2019,5,9
2019-05-10,485.43888888888887,2019,5,10
2019-05-11,497.6333333333333,2019,5,11
2019-05-12,501.1894444444445,2019,5,12
2019-05-13,528.8838888888889,2019,5,13
2019-05-14,529.1616666666666,2019,5,14
2019-05-15,531.5283333333333,2019,5,15
2019-05-16,526.5572222222222,2019,5,16
2019-05-17,500.73666666666657,2019,5,17
2019-05-18,499.5144444444443,2019,5,18
2019-05-19,500.4772222222221,2019,5,19
2019-05-20,500.2683333333333,2019,5,20
2019-05-21,500.2488888888888,2019,5,21
2019-05-22,502.76166666666654,2019,5,22
2019-05-23,503.0044444444444,2019,5,23
2019-05-24,503.4127777777776,2019,5,24
2019-05-25,504.1761111111109,2019,5,25
2019-05-26,494.29611111111103,2019,5,26
2019-05-27,494.2783333333333,2019,5,27
2019-05-28,494.4683333333333,2019,5,28
2019-05-29,494.6494444444442,2019,5,29
2019-05-30,495.04722222222216,2019,5,30
2019-05-31,493.7588888888888,2019,5,31
2019-06-01,496.12222222222215,2019,6,1
2019-06-02,497.1761111111112,2019,6,2
2019-06-03,499.8094444444444,2019,6,3
2019-06-04,499.6816666666666,2019,6,4
2019-06-05,497.3688888888889,2019,6,5
2019-06-06,504.616111111111,2019,6,6
2019-06-07,501.9749999999999,2019,6,7
2019-06-08,502.436111111111,2019,6,8
2019-06-09,503.00944444444445,2019,6,9
2019-06-10,499.116111111111,2019,6,10
2019-06-11,499.1816666666667,2019,6,11
2019-06-12,501.9938888888889,2019,6,12
2019-06-13,502.3072222222223,2019,6,13
2019-06-14,499.5966666666666,2019,6,14
2019-06-15,500.2816666666666,2019,6,15
2019-06-16,500.57944444444433,2019,6,16
2019-06-17,500.5761111111112,2019,6,17
2019-06-18,500.6788888888889,2019,6,18
2019-06-19,499.4088888888888,2019,6,19
2019-06-20,505.2705555555556,2019,6,20
2019-06-21,500.22222222222223,2019,6,21
2019-06-22,501.8766666666666,2019,6,22
2019-06-23,498.0905555555555,2019,6,23
2019-06-24,495.535,2019,6,24
2019-06-25,498.1783333333334,2019,6,25
2019-06-26,499.635,2019,6,26
2019-06-27,498.56277777777774,2019,6,27
2019-06-28,496.6416666666667,2019,6,28
2019-06-29,497.2916666666667,2019,6,29
2019-06-30,498.2833333333335,2019,6,30
2019-07-01,494.9522222222224,2019,7,1
2019-07-02,520.6316666666668,2019,7,2
2019-07-03,520.1333333333334,2019,7,3
2019-07-04,520.13,2019,7,4
2019-07-05,519.9272222222223,2019,7,5
2019-07-06,519.0772222222224,2019,7,6
2019-07-07,533.21,2019,7,7
2019-07-08,520.6999999999999,2019,7,8
2019-07-09,520.6883333333332,2019,7,9
2019-07-10,523.1583333333333,2019,7,10
2019-07-11,498.4333333333334,2019,7,11
2019-07-12,498.468888888889,2019,7,12
2019-07-13,498.45444444444456,2019,7,13
2019-07-14,497.40722222222223,2019,7,14
2019-07-15,501.6522222222223,2019,7,15
2019-07-16,501.7094444444445,2019,7,16
