mean,Date,year,month,day
98.52166666666669,2018-08-16,2018,8,16
103.32791666666662,2018-08-17,2018,8,17
75.38833333333336,2018-08-18,2018,8,18
77.0133333333333,2018-08-19,2018,8,19
80.05583333333331,2018-08-20,2018,8,20
88.18583333333338,2018-08-21,2018,8,21
105.82458333333334,2018-08-22,2018,8,22
133.3579166666667,2018-08-23,2018,8,23
114.18166666666667,2018-08-24,2018,8,24
98.56875000000004,2018-08-25,2018,8,25
76.47583333333337,2018-08-26,2018,8,26
76.74374999999996,2018-08-27,2018,8,27
77.09249999999997,2018-08-28,2018,8,28
83.65499999999999,2018-08-29,2018,8,29
104.19499999999998,2018-08-30,2018,8,30
138.54666666666665,2018-08-31,2018,8,31
118.5895833333333,2018-09-01,2018,9,1
77.22625000000001,2018-09-02,2018,9,2
85.66999999999997,2018-09-03,2018,9,3
116.30666666666667,2018-09-04,2018,9,4
119.23916666666662,2018-09-05,2018,9,5
97.96874999999996,2018-09-06,2018,9,6
73.43999999999998,2018-09-07,2018,9,7
71.28166666666665,2018-09-08,2018,9,8
73.95125,2018-09-09,2018,9,9
77.2220833333333,2018-09-10,2018,9,10
80.0845833333333,2018-09-11,2018,9,11
94.13708333333335,2018-09-12,2018,9,12
89.94624999999996,2018-09-13,2018,9,13
83.58166666666666,2018-09-14,2018,9,14
75.38958333333333,2018-09-15,2018,9,15
76.80333333333336,2018-09-16,2018,9,16
111.95249999999999,2018-09-17,2018,9,17
96.26083333333338,2018-09-18,2018,9,18
103.16708333333334,2018-09-19,2018,9,19
88.65041666666669,2018-09-20,2018,9,20
92.04916666666668,2018-09-21,2018,9,21
90.1291666666667,2018-09-22,2018,9,22
93.53749999999997,2018-09-23,2018,9,23
107.91916666666663,2018-09-24,2018,9,24
141.69999999999996,2018-09-25,2018,9,25
141.01999999999995,2018-09-26,2018,9,26
133.95833333333334,2018-09-27,2018,9,27
144.6216666666667,2018-09-28,2018,9,28
154.86666666666665,2018-09-29,2018,9,29
132.29874999999996,2018-09-30,2018,9,30
162.12208333333334,2018-10-01,2018,10,1
173.085,2018-10-02,2018,10,2
156.20333333333338,2018-10-03,2018,10,3
132.51458333333335,2018-10-04,2018,10,4
